ticker,year,entity_type,revenue,net_income,total_assets,total_liabilities,equity_parent,equity_total,cfo,avg_assets,avg_equity_parent,avg_equity_total,ROE,ROA,Debt_to_Equity,Asset_Turnover,CFO_Margin,revenue_yoy,net_income_yoy,assets_yoy,equity_negative
TBIG,2024,NONBANK,6867399.0,1476550.0,47317150.0,36751627.0,9897621.0,10565523.0,,46935128.5,10805857.5,11463275.0,0.13664348248160776,0.03145937908745685,3.478448440271248,0.14631682536034818,,0.03414638186501462,-0.18174870976697946,0.016412288013343556,False
TLKM,2023,NONBANK,149216.0,32208.0,287042.0,130480.0,135744.0,156562.0,,,,,,,0.8334078512027184,,,,,,False
TLKM,2024,NONBANK,149967.0,30743.0,299675.0,137185.0,142094.0,162490.0,,293358.5,138919.0,159526.0,0.22130162180839194,0.10479669073846505,0.8442673395285863,0.5112072771029303,,0.005032972335406391,-0.04548559364133135,0.044010980971425785,False
TOWR,2023,NONBANK,11740345.0,3303642.0,68418946.0,51907282.0,16456392.0,16511664.0,,,,,,,3.14367358735013,,,,,,False
TOWR,2024,NONBANK,12735815.0,3364606.0,77828380.0,58659171.0,19098622.0,19169209.0,,73123663.0,17777507.0,17840436.5,0.18926197019638355,0.04601254726530863,3.060072588284681,0.17416817590223838,,0.08479052361749165,0.018453573359340995,0.1375267312653428,False
UNTR,2023,NONBANK,128583264.0,22130096.0,153753903.0,69712261.0,79250552.0,84041642.0,,,,,,,0.8294966559553894,,,,,,False
UNTR,2024,NONBANK,134426998.0,20118529.0,169480618.0,71305445.0,92947394.0,98175173.0,,161617260.5,86098973.0,91108407.5,0.23366746778733355,0.12448255178783951,0.7263083203326772,0.8317613946933595,,0.04544708088915833,-0.09089734631065315,0.10228498069411611,False
UNVR,2023,NONBANK,38611401.0,4800940.0,16664086.0,13282848.0,3381238.0,3381238.0,,,,,,,3.9283978235190777,,,,,,False
UNVR,2024,NONBANK,35138643.0,3368693.0,16046195.0,13896928.0,2149267.0,2149267.0,,16355140.5,2765252.5,2765252.5,1.2182225673785667,0.20597151091425964,6.465891859875948,2.148476988014869,,-0.08994125854174523,-0.29832636941932206,-0.03707920134353603,False
WIKA,2023,NONBANK,22530355784.0,-7824538997.0,65981235888.0,56409622846.0,5749878346.0,9571613042.0,,,,,,,5.893429101080035,,,,,,False
WIKA,2024,NONBANK,19242726731.0,-2513814334.0,63553125266.0,51681705473.0,8868680798.0,11871419793.0,,64767180577.0,7309279572.0,10721516417.5,-0.3439209444977021,-0.038813088845381996,4.353456147130286,0.29710613553916904,,-0.14591997944989044,-0.6787268444870913,-0.036800017297669324,False
WSBP,2023,NONBANK,1496422947848.0,6300283809.0,4473145720502.0,5137639812056.0,-664494091554.0,-664494091554.0,,,,,,,-7.731656123594728,,,,,,True
WSBP,2024,NONBANK,1971896434453.0,-997301850759.0,3618630656515.0,5176443655122.0,-1557812998607.0,-1557812998607.0,,4045888188508.5,-1111153545080.5,-1111153545080.5,0.8975373882164487,-0.2464976302586976,-3.322891553575935,0.48738282982059655,,0.317740039531455,-159.29475004512452,-0.19103224383468148,True
WSKT,2023,NONBANK,10954693035464.0,-4018265010703.0,95595897457967.0,83994385906808.0,5281783448196.0,11601511551159.0,,,,,,,7.239951926645015,,,,,,False
WSKT,2024,NONBANK,10705154901932.0,-3913600848372.0,77159736864177.0,69275555503364.0,2807133710363.0,7884181360813.0,,86377817161072.0,4044458579279.5,9742846455986.0,-0.967645179609971,-0.04530793873934276,8.786651693184853,0.12393407536531852,,-0.02277910779646328,-0.026047102929303532,-0.1928551442481753,False
